CPI_type,variable,value
Other recreational & personal services,2018-01-01,2.9
Catering services,2018-01-01,2.8
Non-catering recreational & personal services,2018-01-01,3.2
Miscellaneous & other services,2018-01-01,1.4
Miscellaneous services,2018-01-01,
Medical services,2018-01-01,3.3
Education,2018-01-01,2.9
Durables,2018-01-01,2.0
Semi-durables,2018-01-01,1.5
Non-durables,2018-01-01,0.7
Seasonal food,2018-01-01,2.6
Non-seasonal food,2018-01-01,1.5
"Energy, food, alcoholic beverages & tobacco",2018-01-01,4.0
Energy & unprocessed food,2018-01-01,4.8
Energy & seasonal food,2018-01-01,5.7
Tobacco,2018-01-01,7.3
"Housing, water, electricity, gas & other fuels",2018-01-01,2.3
"Education, health & social protection 2",2018-01-01,2.9
Energy,2018-01-01,2.2
"Energy, food, alcoholic beverages & tobacco",2018-01-01,2.1
Energy & unprocessed food,2018-01-01,2.2
Seasonal food,2018-01-01,2.5
Energy & seasonal food,2018-01-01,2.2
Tobacco,2018-01-01,2.4
Alcoholic beverages & tobacco,2018-01-01,2.4
"Liquid fuels, vehicle fuels & lubricants",2018-01-01,2.3
"Housing, water, electricity, gas & other fuels",2018-01-01,2.5
"Education, health & social protection",2018-01-01,2.5
CPI (overall index),2019-01-01,1.8
All goods,2019-01-01,1.2
"Food, alcoholic beverages & tobacco",2019-01-01,2.0
Processed food & non-alcoholic beverages,2019-01-01,1.5
Non-processed food,2019-01-01,1.1
Seasonal food,2019-01-01,2.1
Meat,2019-01-01,-0.2
Alcoholic beverages & tobacco,2019-01-01,3.5
Industrial goods,2019-01-01,0.9
*Energy,2019-01-01,2.2
"Electricity, gas & miscellaneous energy",2019-01-01,4.0
"Liquid fuels, vehicle fuels & lubricants",2019-01-01,0.3
Non-energy industrial goods,2019-01-01,0.6
Clothing & footwear goods,2019-01-01,-1.0
Housing goods,2019-01-01,0.9
Household goods,2019-01-01,0.7
Water supply; materials for maintenance & repair,2019-01-01,2.4
"Medical products, appliances & equipment",2019-01-01,1.8
"Vehicles, spare parts & accessories",2019-01-01,1.5
Recreational goods,2019-01-01,0.7
Audio-visual goods,2019-01-01,-2.4
Other recreational goods,2019-01-01,1.6
Miscellaneous goods,2019-01-01,0.8
All services,2019-01-01,2.5
Housing services,2019-01-01,1.0
Actual rentals for housing,2019-01-01,0.7
Primary housing services,2019-01-01,2.3
Other housing services,2019-01-01,2.2
Travel & transport services,2019-01-01,3.0
Services for personal transport equipment,2019-01-01,2.7
Transport services,2019-01-01,3.7
Transport insurance,2019-01-01,-1.5
Communication,2019-01-01,3.9
Recreational & personal services,2019-01-01,2.9
Package holidays & accommodation,2019-01-01,3.4
Other recreational & personal services,2019-01-01,2.6
Catering services,2019-01-01,2.7
Non-catering recreational & personal services,2019-01-01,2.6
Miscellaneous & other services,2019-01-01,2.4
Miscellaneous services,2019-01-01,1.9
Medical services,2019-01-01,3.1
Education,2019-01-01,3.0
Durables,2019-01-01,0.7
Semi-durables,2019-01-01,-0.1
Non-durables,2019-01-01,1.7
Seasonal food,2019-01-01,2.1
Non-seasonal food,2019-01-01,0.6
"Energy, food, alcoholic beverages & tobacco",2019-01-01,2.1
Energy & unprocessed food,2019-01-01,1.8
Energy & seasonal food,2019-01-01,2.2
Tobacco,2019-01-01,5.6
"Housing, water, electricity, gas & other fuels",2019-01-01,1.7
"Education, health & social protection 2",2019-01-01,2.9
Energy,2019-01-01,1.8
"Energy, food, alcoholic beverages & tobacco",2019-01-01,1.7
Energy & unprocessed food,2019-01-01,1.8
Seasonal food,2019-01-01,1.8
Energy & seasonal food,2019-01-01,1.8
Tobacco,2019-01-01,1.7
Alcoholic beverages & tobacco,2019-01-01,1.7
"Liquid fuels, vehicle fuels & lubricants",2019-01-01,1.8
"Housing, water, electricity, gas & other fuels",2019-01-01,1.8
"Education, health & social protection",2019-01-01,1.7
CPI (overall index),2020-01-01,0.9
All goods,2020-01-01,
"Food, alcoholic beverages & tobacco",2020-01-01,1.1
Processed food & non-alcoholic beverages,2020-01-01,0.6
Non-processed food,2020-01-01,0.7
Seasonal food,2020-01-01,
Meat,2020-01-01,1.7
Alcoholic beverages & tobacco,2020-01-01,2.1
Industrial goods,2020-01-01,-0.5
*Energy,2020-01-01,-6.5
"Electricity, gas & miscellaneous energy",2020-01-01,-3.8
"Liquid fuels, vehicle fuels & lubricants",2020-01-01,-9.3
Non-energy industrial goods,2020-01-01,0.8
Clothing & footwear goods,2020-01-01,-1.5
Housing goods,2020-01-01,-0.4
Household goods,2020-01-01,-0.4
Water supply; materials for maintenance & repair,2020-01-01,-0.1
"Medical products, appliances & equipment",2020-01-01,1.7
"Vehicles, spare parts & accessories",2020-01-01,3.2
Recreational goods,2020-01-01,1.5
Audio-visual goods,2020-01-01,-0.2
Other recreational goods,2020-01-01,1.9
Miscellaneous goods,2020-01-01,1.1
All services,2020-01-01,1.8
Housing services,2020-01-01,1.2
Actual rentals for housing,2020-01-01,1.4
Primary housing services,2020-01-01,-1.5
Other housing services,2020-01-01,2.2
Travel & transport services,2020-01-01,2.3
Services for personal transport equipment,2020-01-01,2.3
Transport services,2020-01-01,2.4
Transport insurance,2020-01-01,2.0
Communication,2020-01-01,3.9
Recreational & personal services,2020-01-01,1.7
Package holidays & accommodation,2020-01-01,1.5
Other recreational & personal services,2020-01-01,1.9
Catering services,2020-01-01,1.7
Non-catering recreational & personal services,2020-01-01,2.3
Miscellaneous & other services,2020-01-01,1.7
Miscellaneous services,2020-01-01,1.0
Medical services,2020-01-01,2.8
Education,2020-01-01,2.5
Durables,2020-01-01,1.7
Semi-durables,2020-01-01,-0.5
Non-durables,2020-01-01,1.8
Seasonal food,2020-01-01,
Non-seasonal food,2020-01-01,0.7
"Energy, food, alcoholic beverages & tobacco",2020-01-01,-1.3
Energy & unprocessed food,2020-01-01,-3.6
Energy & seasonal food,2020-01-01,-4.6
Tobacco,2020-01-01,2.9
"Housing, water, electricity, gas & other fuels",2020-01-01,-0.4
"Education, health & social protection 2",2020-01-01,2.3
Energy,2020-01-01,1.4
"Energy, food, alcoholic beverages & tobacco",2020-01-01,1.4
Energy & unprocessed food,2020-01-01,1.4
Seasonal food,2020-01-01,0.9
Energy & seasonal food,2020-01-01,1.4
Tobacco,2020-01-01,0.8
Alcoholic beverages & tobacco,2020-01-01,0.8
"Liquid fuels, vehicle fuels & lubricants",2020-01-01,1.2
"Housing, water, electricity, gas & other fuels",2020-01-01,1.0
"Education, health & social protection",2020-01-01,0.7
CPI (overall index),2021-01-01,2.6
All goods,2021-01-01,2.8
"Food, alcoholic beverages & tobacco",2021-01-01,1.0
Processed food & non-alcoholic beverages,2021-01-01,0.5
Non-processed food,2021-01-01,0.1
Seasonal food,2021-01-01,0.4
Meat,2021-01-01,-0.5
Alcoholic beverages & tobacco,2021-01-01,2.7
Industrial goods,2021-01-01,3.5
*Energy,2021-01-01,8.9
"Electricity, gas & miscellaneous energy",2021-01-01,4.0
"Liquid fuels, vehicle fuels & lubricants",2021-01-01,14.6
Non-energy industrial goods,2021-01-01,2.6
Clothing & footwear goods,2021-01-01,0.2
Housing goods,2021-01-01,3.6
Household goods,2021-01-01,3.8
Water supply; materials for maintenance & repair,2021-01-01,2.4
"Medical products, appliances & equipment",2021-01-01,-0.3
"Vehicles, spare parts & accessories",2021-01-01,7.1
Recreational goods,2021-01-01,2.9
Audio-visual goods,2021-01-01,2.4
Other recreational goods,2021-01-01,3.1
Miscellaneous goods,2021-01-01,0.6
All services,2021-01-01,2.3
Housing services,2021-01-01,1.4
Actual rentals for housing,2021-01-01,1.7
Primary housing services,2021-01-01,-1.0
Other housing services,2021-01-01,1.3
Travel & transport services,2021-01-01,3.5
Services for personal transport equipment,2021-01-01,3.1
Transport services,2021-01-01,5.1
Transport insurance,2021-01-01,-8.7
Communication,2021-01-01,1.7
Recreational & personal services,2021-01-01,3.1
Package holidays & accommodation,2021-01-01,5.7
Other recreational & personal services,2021-01-01,2.7
Catering services,2021-01-01,2.7
Non-catering recreational & personal services,2021-01-01,2.6
Miscellaneous & other services,2021-01-01,1.9
Miscellaneous services,2021-01-01,1.2
Medical services,2021-01-01,4.3
Education,2021-01-01,2.8
Durables,2021-01-01,5.3
Semi-durables,2021-01-01,1.1
Non-durables,2021-01-01,1.3
Seasonal food,2021-01-01,0.4
Non-seasonal food,2021-01-01,0.3
"Energy, food, alcoholic beverages & tobacco",2021-01-01,3.1
Energy & unprocessed food,2021-01-01,4.8
Energy & seasonal food,2021-01-01,6.0
Tobacco,2021-01-01,3.9
"Housing, water, electricity, gas & other fuels",2021-01-01,2.3
"Education, health & social protection 2",2021-01-01,2.4
Energy,2021-01-01,2.2
"Energy, food, alcoholic beverages & tobacco",2021-01-01,2.4
Energy & unprocessed food,2021-01-01,2.3
Seasonal food,2021-01-01,2.6
Energy & seasonal food,2021-01-01,2.2
Tobacco,2021-01-01,2.6
Alcoholic beverages & tobacco,2021-01-01,2.6
"Liquid fuels, vehicle fuels & lubricants",2021-01-01,2.3
"Housing, water, electricity, gas & other fuels",2021-01-01,2.6
"Education, health & social protection",2021-01-01,2.6
CPI (overall index),2022-01-01,9.1
All goods,2022-01-01,12.1
"Food, alcoholic beverages & tobacco",2022-01-01,9.0
Processed food & non-alcoholic beverages,2022-01-01,11.6
Non-processed food,2022-01-01,10.0
Seasonal food,2022-01-01,9.3
Meat,2022-01-01,11.1
Alcoholic beverages & tobacco,2022-01-01,4.6
Industrial goods,2022-01-01,13.3
*Energy,2022-01-01,47.6
"Electricity, gas & miscellaneous energy",2022-01-01,64.1
"Liquid fuels, vehicle fuels & lubricants",2022-01-01,29.5
Non-energy industrial goods,2022-01-01,6.8
Clothing & footwear goods,2022-01-01,7.6
Housing goods,2022-01-01,10.2
Household goods,2022-01-01,10.7
Water supply; materials for maintenance & repair,2022-01-01,5.9
"Medical products, appliances & equipment",2022-01-01,2.0
"Vehicles, spare parts & accessories",2022-01-01,7.4
Recreational goods,2022-01-01,4.8
Audio-visual goods,2022-01-01,0.3
Other recreational goods,2022-01-01,6.4
Miscellaneous goods,2022-01-01,5.7
All services,2022-01-01,5.2
Housing services,2022-01-01,3.8
Actual rentals for housing,2022-01-01,3.5
Primary housing services,2022-01-01,6.4
Other housing services,2022-01-01,4.0
Travel & transport services,2022-01-01,7.4
Services for personal transport equipment,2022-01-01,6.7
Transport services,2022-01-01,8.0
Transport insurance,2022-01-01,13.7
Communication,2022-01-01,2.3
Recreational & personal services,2022-01-01,7.5
Package holidays & accommodation,2022-01-01,9.6
Other recreational & personal services,2022-01-01,6.8
Catering services,2022-01-01,7.4
Non-catering recreational & personal services,2022-01-01,5.1
Miscellaneous & other services,2022-01-01,2.5
Miscellaneous services,2022-01-01,1.2
Medical services,2022-01-01,4.7
Education,2022-01-01,4.1
Durables,2022-01-01,6.4
Semi-durables,2022-01-01,7.3
Non-durables,2022-01-01,6.6
Seasonal food,2022-01-01,9.3
Non-seasonal food,2022-01-01,11.7
"Energy, food, alcoholic beverages & tobacco",2022-01-01,19.7
Energy & unprocessed food,2022-01-01,30.7
Energy & seasonal food,2022-01-01,34.8
Tobacco,2022-01-01,6.9
"Housing, water, electricity, gas & other fuels",2022-01-01,18.5
"Education, health & social protection 2",2022-01-01,3.7
Energy,2022-01-01,6.5
"Energy, food, alcoholic beverages & tobacco",2022-01-01,5.9
Energy & unprocessed food,2022-01-01,6.3
Seasonal food,2022-01-01,9.1
Energy & seasonal food,2022-01-01,6.4
Tobacco,2022-01-01,9.1
Alcoholic beverages & tobacco,2022-01-01,9.3
"Liquid fuels, vehicle fuels & lubricants",2022-01-01,8.4
"Housing, water, electricity, gas & other fuels",2022-01-01,7.6
"Education, health & social protection",2022-01-01,9.5
